Year,Station Code,Region,Garda Station,Value
2019,64302,Terenure, D.M.R. Southern Division,11
2020,63101,Balbriggan, D.M.R. Northern Division,182
2020,63101,Balbriggan, D.M.R. Northern Division,44
2020,63101,Balbriggan, D.M.R. Northern Division,0
2020,63101,Balbriggan, D.M.R. Northern Division,11
2020,63101,Balbriggan, D.M.R. Northern Division,73
2020,63101,Balbriggan, D.M.R. Northern Division,257
2020,63101,Balbriggan, D.M.R. Northern Division,43
2020,63101,Balbriggan, D.M.R. Northern Division,181
2020,63101,Balbriggan, D.M.R. Northern Division,31
2020,63101,Balbriggan, D.M.R. Northern Division,183
2020,63101,Balbriggan, D.M.R. Northern Division,155
2020,63101,Balbriggan, D.M.R. Northern Division,77
2020,66201,Ballyfermot, D.M.R. Western Division,144
2020,66201,Ballyfermot, D.M.R. Western Division,63
2020,66201,Ballyfermot, D.M.R. Western Division,0
2020,66201,Ballyfermot, D.M.R. Western Division,35
2020,66201,Ballyfermot, D.M.R. Western Division,100
2020,66201,Ballyfermot, D.M.R. Western Division,366
2020,66201,Ballyfermot, D.M.R. Western Division,53
2020,66201,Ballyfermot, D.M.R. Western Division,351
2020,66201,Ballyfermot, D.M.R. Western Division,35
2020,66201,Ballyfermot, D.M.R. Western Division,179
2020,66201,Ballyfermot, D.M.R. Western Division,146
2020,66201,Ballyfermot, D.M.R. Western Division,51
2020,63201,Ballymun, D.M.R. Northern Division,194
2020,63201,Ballymun, D.M.R. Northern Division,70
2020,63201,Ballymun, D.M.R. Northern Division,3
2020,63201,Ballymun, D.M.R. Northern Division,28
2020,63201,Ballymun, D.M.R. Northern Division,66
2020,63201,Ballymun, D.M.R. Northern Division,527
2020,63201,Ballymun, D.M.R. Northern Division,60
2020,63201,Ballymun, D.M.R. Northern Division,449
2020,63201,Ballymun, D.M.R. Northern Division,43
2020,63201,Ballymun, D.M.R. Northern Division,239
2020,63201,Ballymun, D.M.R. Northern Division,242
2020,63201,Ballymun, D.M.R. Northern Division,54
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",80
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",33
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",0
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",14
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",155
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",498
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",65
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",95
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",13
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",51
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",132
2020,65101,Blackrock," Co Dublin, D.M.R. Eastern Division",13
2020,66101,Blanchardstown, D.M.R. Western Division,467
2020,66101,Blanchardstown, D.M.R. Western Division,252
2020,66101,Blanchardstown, D.M.R. Western Division,4
2020,66101,Blanchardstown, D.M.R. Western Division,71
2020,66101,Blanchardstown, D.M.R. Western Division,318
2020,66101,Blanchardstown, D.M.R. Western Division,1546
2020,66101,Blanchardstown, D.M.R. Western Division,325
2020,66101,Blanchardstown, D.M.R. Western Division,397
2020,66101,Blanchardstown, D.M.R. Western Division,70
2020,66101,Blanchardstown, D.M.R. Western Division,387
2020,66101,Blanchardstown, D.M.R. Western Division,447
2020,66101,Blanchardstown, D.M.R. Western Division,649
2020,62101,BridewellDublin, D.M.R. North Central Division,217
2020,62101,BridewellDublin, D.M.R. North Central Division,54
2020,62101,BridewellDublin, D.M.R. North Central Division,2
2020,62101,BridewellDublin, D.M.R. North Central Division,34
2020,62101,BridewellDublin, D.M.R. North Central Division,99
2020,62101,BridewellDublin, D.M.R. North Central Division,539
2020,62101,BridewellDublin, D.M.R. North Central Division,76
2020,62101,BridewellDublin, D.M.R. North Central Division,210
2020,62101,BridewellDublin, D.M.R. North Central Division,50
2020,62101,BridewellDublin, D.M.R. North Central Division,276
2020,62101,BridewellDublin, D.M.R. North Central Division,344
2020,62101,BridewellDublin, D.M.R. North Central Division,1971
2020,65201,Cabinteely, D.M.R. Eastern Division,78
2020,65201,Cabinteely, D.M.R. Eastern Division,18
2020,65201,Cabinteely, D.M.R. Eastern Division,0
2020,65201,Cabinteely, D.M.R. Eastern Division,16
2020,65201,Cabinteely, D.M.R. Eastern Division,161
2020,65201,Cabinteely, D.M.R. Eastern Division,391
2020,65201,Cabinteely, D.M.R. Eastern Division,30
2020,65201,Cabinteely, D.M.R. Eastern Division,45
2020,65201,Cabinteely, D.M.R. Eastern Division,7
2020,65201,Cabinteely, D.M.R. Eastern Division,134
2020,65201,Cabinteely, D.M.R. Eastern Division,100
2020,65201,Cabinteely, D.M.R. Eastern Division,16
2020,66102,Cabra, D.M.R. Western Division,72
2020,66102,Cabra, D.M.R. Western Division,41
2020,66102,Cabra, D.M.R. Western Division,1
2020,66102,Cabra, D.M.R. Western Division,18
2020,66102,Cabra, D.M.R. Western Division,64
2020,66102,Cabra, D.M.R. Western Division,382
2020,66102,Cabra, D.M.R. Western Division,27
2020,66102,Cabra, D.M.R. Western Division,166
2020,66102,Cabra, D.M.R. Western Division,10
2020,66102,Cabra, D.M.R. Western Division,88
2020,66102,Cabra, D.M.R. Western Division,109
2020,66102,Cabra, D.M.R. Western Division,28
2020,66202,Clondalkin, D.M.R. Western Division,159
2020,66202,Clondalkin, D.M.R. Western Division,128
2020,66202,Clondalkin, D.M.R. Western Division,0
2020,66202,Clondalkin, D.M.R. Western Division,41
2020,66202,Clondalkin, D.M.R. Western Division,181
2020,66202,Clondalkin, D.M.R. Western Division,641
2020,66202,Clondalkin, D.M.R. Western Division,89
2020,66202,Clondalkin, D.M.R. Western Division,434
2020,66202,Clondalkin, D.M.R. Western Division,24
2020,66202,Clondalkin, D.M.R. Western Division,259
2020,66202,Clondalkin, D.M.R. Western Division,265
2020,66202,Clondalkin, D.M.R. Western Division,82
2020,63401,Clontarf, D.M.R. Northern Division,121
2020,63401,Clontarf, D.M.R. Northern Division,44
2020,63401,Clontarf, D.M.R. Northern Division,1
2020,63401,Clontarf, D.M.R. Northern Division,33
2020,63401,Clontarf, D.M.R. Northern Division,125
2020,63401,Clontarf, D.M.R. Northern Division,656
2020,63401,Clontarf, D.M.R. Northern Division,75
2020,63401,Clontarf, D.M.R. Northern Division,122
2020,63401,Clontarf, D.M.R. Northern Division,14
2020,63401,Clontarf, D.M.R. Northern Division,167
2020,63401,Clontarf, D.M.R. Northern Division,128
2020,63401,Clontarf, D.M.R. Northern Division,27
2020,63301,Coolock, D.M.R. Northern Division,305
2020,63301,Coolock, D.M.R. Northern Division,100
2020,63301,Coolock, D.M.R. Northern Division,4
2020,63301,Coolock, D.M.R. Northern Division,69
2020,63301,Coolock, D.M.R. Northern Division,150
2020,63301,Coolock, D.M.R. Northern Division,1055
2020,63301,Coolock, D.M.R. Northern Division,84
2020,63301,Coolock, D.M.R. Northern Division,336
2020,63301,Coolock, D.M.R. Northern Division,33
2020,63301,Coolock, D.M.R. Northern Division,403
2020,63301,Coolock, D.M.R. Northern Division,270
2020,63301,Coolock, D.M.R. Northern Division,160
2020,64101,Crumlin, D.M.R. Southern Division,116
2020,64101,Crumlin, D.M.R. Southern Division,72
2020,64101,Crumlin, D.M.R. Southern Division,0
2020,64101,Crumlin, D.M.R. Southern Division,18
2020,64101,Crumlin, D.M.R. Southern Division,119
2020,64101,Crumlin, D.M.R. Southern Division,373
2020,64101,Crumlin, D.M.R. Southern Division,66
2020,64101,Crumlin, D.M.R. Southern Division,184
2020,64101,Crumlin, D.M.R. Southern Division,24
2020,64101,Crumlin, D.M.R. Southern Division,113
2020,64101,Crumlin, D.M.R. Southern Division,127
2020,64101,Crumlin, D.M.R. Southern Division,21
2020,61101,Donnybrook, D.M.R. South Central Division,70
2020,61101,Donnybrook, D.M.R. South Central Division,24
2020,61101,Donnybrook, D.M.R. South Central Division,1
2020,61101,Donnybrook, D.M.R. South Central Division,6
2020,61101,Donnybrook, D.M.R. South Central Division,118
2020,61101,Donnybrook, D.M.R. South Central Division,533
2020,61101,Donnybrook, D.M.R. South Central Division,78
2020,61101,Donnybrook, D.M.R. South Central Division,40
2020,61101,Donnybrook, D.M.R. South Central Division,18
2020,61101,Donnybrook, D.M.R. South Central Division,81
2020,61101,Donnybrook, D.M.R. South Central Division,215
2020,61101,Donnybrook, D.M.R. South Central Division,15
2020,63202,DublinAirport, D.M.R. Northern Division,8
2020,63202,DublinAirport, D.M.R. Northern Division,3
2020,63202,DublinAirport, D.M.R. Northern Division,6
2020,63202,DublinAirport, D.M.R. Northern Division,0
2020,63202,DublinAirport, D.M.R. Northern Division,2
2020,63202,DublinAirport, D.M.R. Northern Division,70
2020,63202,DublinAirport, D.M.R. Northern Division,9
2020,63202,DublinAirport, D.M.R. Northern Division,18
2020,63202,DublinAirport, D.M.R. Northern Division,6
2020,63202,DublinAirport, D.M.R. Northern Division,11
2020,63202,DublinAirport, D.M.R. Northern Division,43
2020,63202,DublinAirport, D.M.R. Northern Division,1
2020,65203,DunLaoghaire, D.M.R. Eastern Division,165
2020,65203,DunLaoghaire, D.M.R. Eastern Division,39
2020,65203,DunLaoghaire, D.M.R. Eastern Division,2
2020,65203,DunLaoghaire, D.M.R. Eastern Division,18
2020,65203,DunLaoghaire, D.M.R. Eastern Division,213
2020,65203,DunLaoghaire, D.M.R. Eastern Division,648
2020,65203,DunLaoghaire, D.M.R. Eastern Division,86
2020,65203,DunLaoghaire, D.M.R. Eastern Division,134
2020,65203,DunLaoghaire, D.M.R. Eastern Division,30
2020,65203,DunLaoghaire, D.M.R. Eastern Division,195
2020,65203,DunLaoghaire, D.M.R. Eastern Division,326
2020,65203,DunLaoghaire, D.M.R. Eastern Division,201
2020,65102,Dundrum, D.M.R. Eastern Division,180
2020,65102,Dundrum, D.M.R. Eastern Division,75
2020,65102,Dundrum, D.M.R. Eastern Division,2
2020,65102,Dundrum, D.M.R. Eastern Division,21
2020,65102,Dundrum, D.M.R. Eastern Division,241
2020,65102,Dundrum, D.M.R. Eastern Division,1171
2020,65102,Dundrum, D.M.R. Eastern Division,159
2020,65102,Dundrum, D.M.R. Eastern Division,143
2020,65102,Dundrum, D.M.R. Eastern Division,24
2020,65102,Dundrum, D.M.R. Eastern Division,232
2020,65102,Dundrum, D.M.R. Eastern Division,209
2020,65102,Dundrum, D.M.R. Eastern Division,43
2020,66103,Finglas, D.M.R. Western Division,274
2020,66103,Finglas, D.M.R. Western Division,129
2020,66103,Finglas, D.M.R. Western Division,3
2020,66103,Finglas, D.M.R. Western Division,37
2020,66103,Finglas, D.M.R. Western Division,130
2020,66103,Finglas, D.M.R. Western Division,1016
2020,66103,Finglas, D.M.R. Western Division,117
2020,66103,Finglas, D.M.R. Western Division,634
2020,66103,Finglas, D.M.R. Western Division,49
2020,66103,Finglas, D.M.R. Western Division,296
2020,66103,Finglas, D.M.R. Western Division,353
2020,66103,Finglas, D.M.R. Western Division,99
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,191
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,59
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,2
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,25
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,122
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,539
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,45
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,287
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,42
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,201
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,301
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,39
2020,63102,Garristown, D.M.R. Northern Division,5
2020,63102,Garristown, D.M.R. Northern Division,1
2020,63102,Garristown, D.M.R. Northern Division,0
2020,63102,Garristown, D.M.R. Northern Division,0
2020,63102,Garristown, D.M.R. Northern Division,10
2020,63102,Garristown, D.M.R. Northern Division,24
2020,63102,Garristown, D.M.R. Northern Division,2
2020,63102,Garristown, D.M.R. Northern Division,2
2020,63102,Garristown, D.M.R. Northern Division,1
2020,63102,Garristown, D.M.R. Northern Division,4
2020,63102,Garristown, D.M.R. Northern Division,5
2020,63102,Garristown, D.M.R. Northern Division,1
2020,63402,Howth, D.M.R. Northern Division,79
2020,63402,Howth, D.M.R. Northern Division,19
2020,63402,Howth, D.M.R. Northern Division,0
2020,63402,Howth, D.M.R. Northern Division,22
2020,63402,Howth, D.M.R. Northern Division,63
2020,63402,Howth, D.M.R. Northern Division,282
2020,63402,Howth, D.M.R. Northern Division,29
2020,63402,Howth, D.M.R. Northern Division,80
2020,63402,Howth, D.M.R. Northern Division,5
2020,63402,Howth, D.M.R. Northern Division,117
2020,63402,Howth, D.M.R. Northern Division,71
2020,63402,Howth, D.M.R. Northern Division,18
2020,61102,Irishtown, D.M.R. South Central Division,84
2020,61102,Irishtown, D.M.R. South Central Division,21
2020,61102,Irishtown, D.M.R. South Central Division,0
2020,61102,Irishtown, D.M.R. South Central Division,12
2020,61102,Irishtown, D.M.R. South Central Division,98
2020,61102,Irishtown, D.M.R. South Central Division,576
2020,61102,Irishtown, D.M.R. South Central Division,45
2020,61102,Irishtown, D.M.R. South Central Division,100
2020,61102,Irishtown, D.M.R. South Central Division,21
2020,61102,Irishtown, D.M.R. South Central Division,96
2020,61102,Irishtown, D.M.R. South Central Division,152
2020,61102,Irishtown, D.M.R. South Central Division,18
2020,61301,KevinStreet, D.M.R. South Central Division,263
2020,61301,KevinStreet, D.M.R. South Central Division,56
2020,61301,KevinStreet, D.M.R. South Central Division,3
2020,61301,KevinStreet, D.M.R. South Central Division,49
2020,61301,KevinStreet, D.M.R. South Central Division,128
2020,61301,KevinStreet, D.M.R. South Central Division,762
2020,61301,KevinStreet, D.M.R. South Central Division,105
2020,61301,KevinStreet, D.M.R. South Central Division,490
2020,61301,KevinStreet, D.M.R. South Central Division,71
2020,61301,KevinStreet, D.M.R. South Central Division,265
2020,61301,KevinStreet, D.M.R. South Central Division,538
2020,61301,KevinStreet, D.M.R. South Central Division,44
2020,61302,Kilmainham, D.M.R. South Central Division,250
2020,61302,Kilmainham, D.M.R. South Central Division,60
2020,61302,Kilmainham, D.M.R. South Central Division,1
2020,61302,Kilmainham, D.M.R. South Central Division,77
2020,61302,Kilmainham, D.M.R. South Central Division,126
2020,61302,Kilmainham, D.M.R. South Central Division,667
2020,61302,Kilmainham, D.M.R. South Central Division,78
2020,61302,Kilmainham, D.M.R. South Central Division,180
2020,61302,Kilmainham, D.M.R. South Central Division,32
2020,61302,Kilmainham, D.M.R. South Central Division,286
2020,61302,Kilmainham, D.M.R. South Central Division,316
2020,61302,Kilmainham, D.M.R. South Central Division,68
2020,66301,Lucan, D.M.R. Western Division,128
2020,66301,Lucan, D.M.R. Western Division,38
2020,66301,Lucan, D.M.R. Western Division,1
2020,66301,Lucan, D.M.R. Western Division,18
2020,66301,Lucan, D.M.R. Western Division,103
2020,66301,Lucan, D.M.R. Western Division,492
2020,66301,Lucan, D.M.R. Western Division,87
2020,66301,Lucan, D.M.R. Western Division,223
2020,66301,Lucan, D.M.R. Western Division,25
2020,66301,Lucan, D.M.R. Western Division,150
2020,66301,Lucan, D.M.R. Western Division,152
2020,66301,Lucan, D.M.R. Western Division,30
2020,63103,Lusk, D.M.R. Northern Division,73
2020,63103,Lusk, D.M.R. Northern Division,22
2020,63103,Lusk, D.M.R. Northern Division,0
2020,63103,Lusk, D.M.R. Northern Division,10
2020,63103,Lusk, D.M.R. Northern Division,20
2020,63103,Lusk, D.M.R. Northern Division,297
2020,63103,Lusk, D.M.R. Northern Division,16
2020,63103,Lusk, D.M.R. Northern Division,42
2020,63103,Lusk, D.M.R. Northern Division,6
2020,63103,Lusk, D.M.R. Northern Division,69
2020,63103,Lusk, D.M.R. Northern Division,31
2020,63103,Lusk, D.M.R. Northern Division,18
2020,63302,Malahide, D.M.R. Northern Division,67
2020,63302,Malahide, D.M.R. Northern Division,13
2020,63302,Malahide, D.M.R. Northern Division,0
2020,63302,Malahide, D.M.R. Northern Division,27
2020,63302,Malahide, D.M.R. Northern Division,93
2020,63302,Malahide, D.M.R. Northern Division,357
2020,63302,Malahide, D.M.R. Northern Division,37
2020,63302,Malahide, D.M.R. Northern Division,51
2020,63302,Malahide, D.M.R. Northern Division,4
2020,63302,Malahide, D.M.R. Northern Division,103
2020,63302,Malahide, D.M.R. Northern Division,57
2020,63302,Malahide, D.M.R. Northern Division,15
2020,62203,Mountjoy, D.M.R. North Central Division,252
2020,62203,Mountjoy, D.M.R. North Central Division,68
2020,62203,Mountjoy, D.M.R. North Central Division,0
2020,62203,Mountjoy, D.M.R. North Central Division,32
2020,62203,Mountjoy, D.M.R. North Central Division,138
2020,62203,Mountjoy, D.M.R. North Central Division,761
2020,62203,Mountjoy, D.M.R. North Central Division,99
2020,62203,Mountjoy, D.M.R. North Central Division,160
2020,62203,Mountjoy, D.M.R. North Central Division,29
2020,62203,Mountjoy, D.M.R. North Central Division,259
2020,62203,Mountjoy, D.M.R. North Central Division,275
2020,62203,Mountjoy, D.M.R. North Central Division,94
2020,61202,PearseStreet, D.M.R. South Central Division,375
2020,61202,PearseStreet, D.M.R. South Central Division,61
2020,61202,PearseStreet, D.M.R. South Central Division,3
2020,61202,PearseStreet, D.M.R. South Central Division,129
2020,61202,PearseStreet, D.M.R. South Central Division,389
2020,61202,PearseStreet, D.M.R. South Central Division,2616
2020,61202,PearseStreet, D.M.R. South Central Division,268
2020,61202,PearseStreet, D.M.R. South Central Division,612
2020,61202,PearseStreet, D.M.R. South Central Division,190
2020,61202,PearseStreet, D.M.R. South Central Division,381
2020,61202,PearseStreet, D.M.R. South Central Division,1936
2020,61202,PearseStreet, D.M.R. South Central Division,74
2020,63403,Raheny, D.M.R. Northern Division,112
2020,63403,Raheny, D.M.R. Northern Division,15
2020,63403,Raheny, D.M.R. Northern Division,2
2020,63403,Raheny, D.M.R. Northern Division,29
2020,63403,Raheny, D.M.R. Northern Division,66
2020,63403,Raheny, D.M.R. Northern Division,268
2020,63403,Raheny, D.M.R. Northern Division,38
2020,63403,Raheny, D.M.R. Northern Division,167
2020,63403,Raheny, D.M.R. Northern Division,20
2020,63403,Raheny, D.M.R. Northern Division,101
2020,63403,Raheny, D.M.R. Northern Division,124
2020,63403,Raheny, D.M.R. Northern Division,35
2020,66203,Rathcoole, D.M.R. Western Division,63
2020,66203,Rathcoole, D.M.R. Western Division,32
2020,66203,Rathcoole, D.M.R. Western Division,0
2020,66203,Rathcoole, D.M.R. Western Division,7
2020,66203,Rathcoole, D.M.R. Western Division,52
2020,66203,Rathcoole, D.M.R. Western Division,325
2020,66203,Rathcoole, D.M.R. Western Division,38
2020,66203,Rathcoole, D.M.R. Western Division,50
2020,66203,Rathcoole, D.M.R. Western Division,6
2020,66203,Rathcoole, D.M.R. Western Division,47
2020,66203,Rathcoole, D.M.R. Western Division,46
2020,66203,Rathcoole, D.M.R. Western Division,14
2020,64201,Rathfarnham, D.M.R. Southern Division,95
2020,64201,Rathfarnham, D.M.R. Southern Division,74
2020,64201,Rathfarnham, D.M.R. Southern Division,0
2020,64201,Rathfarnham, D.M.R. Southern Division,32
2020,64201,Rathfarnham, D.M.R. Southern Division,166
2020,64201,Rathfarnham, D.M.R. Southern Division,715
2020,64201,Rathfarnham, D.M.R. Southern Division,85
2020,64201,Rathfarnham, D.M.R. Southern Division,147
2020,64201,Rathfarnham, D.M.R. Southern Division,25
2020,64201,Rathfarnham, D.M.R. Southern Division,186
2020,64201,Rathfarnham, D.M.R. Southern Division,187
2020,64201,Rathfarnham, D.M.R. Southern Division,52
2020,64301,Rathmines, D.M.R. Southern Division,66
2020,64301,Rathmines, D.M.R. Southern Division,29
2020,64301,Rathmines, D.M.R. Southern Division,0
2020,64301,Rathmines, D.M.R. Southern Division,12
2020,64301,Rathmines, D.M.R. Southern Division,91
2020,64301,Rathmines, D.M.R. Southern Division,541
2020,64301,Rathmines, D.M.R. Southern Division,61
2020,64301,Rathmines, D.M.R. Southern Division,206
2020,64301,Rathmines, D.M.R. Southern Division,13
2020,64301,Rathmines, D.M.R. Southern Division,106
2020,64301,Rathmines, D.M.R. Southern Division,210
2020,64301,Rathmines, D.M.R. Southern Division,21
2020,66302,Ronanstown, D.M.R. Western Division,274
2020,66302,Ronanstown, D.M.R. Western Division,105
2020,66302,Ronanstown, D.M.R. Western Division,2
2020,66302,Ronanstown, D.M.R. Western Division,23
2020,66302,Ronanstown, D.M.R. Western Division,124
2020,66302,Ronanstown, D.M.R. Western Division,797
2020,66302,Ronanstown, D.M.R. Western Division,67
2020,66302,Ronanstown, D.M.R. Western Division,936
2020,66302,Ronanstown, D.M.R. Western Division,42
2020,66302,Ronanstown, D.M.R. Western Division,295
2020,66302,Ronanstown, D.M.R. Western Division,228
2020,66302,Ronanstown, D.M.R. Western Division,290
2020,63203,Santry, D.M.R. Northern Division,118
2020,63203,Santry, D.M.R. Northern Division,58
2020,63203,Santry, D.M.R. Northern Division,1
2020,63203,Santry, D.M.R. Northern Division,31
2020,63203,Santry, D.M.R. Northern Division,149
2020,63203,Santry, D.M.R. Northern Division,1010
2020,63203,Santry, D.M.R. Northern Division,92
2020,63203,Santry, D.M.R. Northern Division,101
2020,63203,Santry, D.M.R. Northern Division,16
2020,63203,Santry, D.M.R. Northern Division,164
2020,63203,Santry, D.M.R. Northern Division,175
2020,63203,Santry, D.M.R. Northern Division,22
2020,65205,Shankill, D.M.R. Eastern Division,81
2020,65205,Shankill, D.M.R. Eastern Division,41
2020,65205,Shankill, D.M.R. Eastern Division,0
2020,65205,Shankill, D.M.R. Eastern Division,3
2020,65205,Shankill, D.M.R. Eastern Division,78
2020,65205,Shankill, D.M.R. Eastern Division,216
2020,65205,Shankill, D.M.R. Eastern Division,21
2020,65205,Shankill, D.M.R. Eastern Division,77
2020,65205,Shankill, D.M.R. Eastern Division,14
2020,65205,Shankill, D.M.R. Eastern Division,118
2020,65205,Shankill, D.M.R. Eastern Division,106
2020,65205,Shankill, D.M.R. Eastern Division,29
2020,63105,Skerries, D.M.R. Northern Division,29
2020,63105,Skerries, D.M.R. Northern Division,10
2020,63105,Skerries, D.M.R. Northern Division,1
2020,63105,Skerries, D.M.R. Northern Division,2
2020,63105,Skerries, D.M.R. Northern Division,16
2020,63105,Skerries, D.M.R. Northern Division,53
2020,63105,Skerries, D.M.R. Northern Division,10
2020,63105,Skerries, D.M.R. Northern Division,24
2020,63105,Skerries, D.M.R. Northern Division,8
2020,63105,Skerries, D.M.R. Northern Division,29
2020,63105,Skerries, D.M.R. Northern Division,17
2020,63105,Skerries, D.M.R. Northern Division,5
2020,62301,StoreStreet, D.M.R. North Central Division,465
2020,62301,StoreStreet, D.M.R. North Central Division,103
2020,62301,StoreStreet, D.M.R. North Central Division,2
2020,62301,StoreStreet, D.M.R. North Central Division,120
2020,62301,StoreStreet, D.M.R. North Central Division,196
2020,62301,StoreStreet, D.M.R. North Central Division,2803
2020,62301,StoreStreet, D.M.R. North Central Division,263
2020,62301,StoreStreet, D.M.R. North Central Division,780
2020,62301,StoreStreet, D.M.R. North Central Division,145
2020,62301,StoreStreet, D.M.R. North Central Division,420
2020,62301,StoreStreet, D.M.R. North Central Division,1936
2020,62301,StoreStreet, D.M.R. North Central Division,53
2020,64102,SundriveRoad, D.M.R. Southern Division,122
2020,64102,SundriveRoad, D.M.R. Southern Division,52
2020,64102,SundriveRoad, D.M.R. Southern Division,0
2020,64102,SundriveRoad, D.M.R. Southern Division,21
2020,64102,SundriveRoad, D.M.R. Southern Division,80
2020,64102,SundriveRoad, D.M.R. Southern Division,281
2020,64102,SundriveRoad, D.M.R. Southern Division,39
2020,64102,SundriveRoad, D.M.R. Southern Division,168
2020,64102,SundriveRoad, D.M.R. Southern Division,27
2020,64102,SundriveRoad, D.M.R. Southern Division,123
2020,64102,SundriveRoad, D.M.R. Southern Division,179
2020,64102,SundriveRoad, D.M.R. Southern Division,56
2020,63303,Swords, D.M.R. Northern Division,227
2020,63303,Swords, D.M.R. Northern Division,86
2020,63303,Swords, D.M.R. Northern Division,0
2020,63303,Swords, D.M.R. Northern Division,33
2020,63303,Swords, D.M.R. Northern Division,94
2020,63303,Swords, D.M.R. Northern Division,834
2020,63303,Swords, D.M.R. Northern Division,109
2020,63303,Swords, D.M.R. Northern Division,154
2020,63303,Swords, D.M.R. Northern Division,27
2020,63303,Swords, D.M.R. Northern Division,196
2020,63303,Swords, D.M.R. Northern Division,192
2020,63303,Swords, D.M.R. Northern Division,147
2020,64202,Tallaght, D.M.R. Southern Division,379
2020,64202,Tallaght, D.M.R. Southern Division,175
2020,64202,Tallaght, D.M.R. Southern Division,5
2020,64202,Tallaght, D.M.R. Southern Division,73
2020,64202,Tallaght, D.M.R. Southern Division,334
2020,64202,Tallaght, D.M.R. Southern Division,1414
2020,64202,Tallaght, D.M.R. Southern Division,191
2020,64202,Tallaght, D.M.R. Southern Division,553
2020,64202,Tallaght, D.M.R. Southern Division,90
2020,64202,Tallaght, D.M.R. Southern Division,785
2020,64202,Tallaght, D.M.R. Southern Division,539
2020,64202,Tallaght, D.M.R. Southern Division,392
2020,64302,Terenure, D.M.R. Southern Division,42
2020,64302,Terenure, D.M.R. Southern Division,41
2020,64302,Terenure, D.M.R. Southern Division,0
2020,64302,Terenure, D.M.R. Southern Division,10
2020,64302,Terenure, D.M.R. Southern Division,95
2020,64302,Terenure, D.M.R. Southern Division,275
2020,64302,Terenure, D.M.R. Southern Division,46
2020,64302,Terenure, D.M.R. Southern Division,114
2020,64302,Terenure, D.M.R. Southern Division,14
2020,64302,Terenure, D.M.R. Southern Division,57
2020,64302,Terenure, D.M.R. Southern Division,100
